A,B,C,D,E,Treatment,Outcome
0.24671415301123267,0.6967141530112326,-0.19328584698876727,1.0,1.3967141530112328,1,9.667256426260657
-0.38826430117118466,0.061735698828815355,-0.8282643011711845,0.0,0.7617356988288153,0,1.2383727736756025
0.3976885381006925,0.8476885381006924,-0.042311461899307456,0.0,1.5476885381006924,1,10.482518105743738
1.2730298564080254,1.7230298564080253,0.8330298564080254,1.0,2.4230298564080255,1,15.209361224603338
-0.48415337472333597,-0.03415337472333596,-0.9241533747233359,1.0,0.665846625276664,1,5.720571776493986
-0.4841369569491806,-0.034136956949180536,-0.9241369569491805,1.0,0.6658630430508194,0,0.7206604324744249
1.3292128155073915,1.7792128155073914,0.8892128155073915,1.0,2.4792128155073914,1,15.512749203739915
0.5174347291529088,0.9674347291529088,0.07743472915290883,0.0,1.6674347291529088,1,11.129147537425705
-0.7194743859349522,-0.2694743859349521,-1.1594743859349521,1.0,0.4305256140650479,0,-0.5501616840487414
0.29256004358596466,0.7425600435859647,-0.1474399564140353,1.0,1.4425600435859647,1,9.91482423536421
-0.7134176928124623,-0.26341769281246225,-1.1534176928124622,1.0,0.43658230718753777,1,4.482544458812704
-0.7157297535702569,-0.26572975357025685,-1.1557297535702569,0.0,0.43427024642974316,0,-0.529940669279387
-0.008037728433965885,0.4419622715660341,-0.44803772843396583,0.0,1.141962271566034,1,8.291596266456583
-2.163280244657798,-1.713280244657798,-2.603280244657798,1.0,-1.013280244657798,0,-8.346713321152109
-1.9749178325130328,-1.5249178325130328,-2.4149178325130327,1.0,-0.8249178325130327,0,-7.329556295570376
-0.8122875292409727,-0.3622875292409727,-1.2522875292409728,1.0,0.33771247075902733,0,-1.0513526579012524
-1.2628311203344238,-0.8128311203344238,-1.7028311203344237,1.0,-0.11283112033442377,0,-3.484288049805888
0.06424733259527388,0.5142473325952739,-0.37575266740472607,1.0,1.2142473325952738,1,8.68193559601448
-1.1580240755212108,-0.7080240755212108,-1.5980240755212107,1.0,-0.008024075521210872,0,-2.9183300078145384
-1.6623037013352915,-1.2123037013352915,-2.102303701335291,1.0,-0.5123037013352915,0,-5.641439987210574
1.215648768921554,1.665648768921554,0.7756487689215541,1.0,2.365648768921554,1,14.89950335217639
-0.47577630048653563,-0.025776300486535647,-0.9157763004865356,1.0,0.6742236995134644,1,5.765807977372708
-0.18247179531207616,0.2675282046879238,-0.6224717953120761,1.0,0.9675282046879239,1,7.349652305314788
-1.6747481862134568,-1.2247481862134568,-2.1147481862134567,1.0,-0.5247481862134568,0,-5.708640205552666
-0.7943827245251827,-0.34438272452518265,-1.2343827245251826,1.0,0.35561727547481736,0,-0.9546667124359862
-0.13907741029013393,0.3109225897098661,-0.5790774102901338,0.0,1.0109225897098661,1,7.583981984433277
-1.4009935774223028,-0.9509935774223028,-1.8409935774223027,1.0,-0.25099357742230277,0,-4.230365318080435
0.12569801834567196,0.5756980183456719,-0.314301981654328,1.0,1.2756980183456719,1,9.01376929906663
-0.850638689918805,-0.40063868991880497,-1.290638689918805,1.0,0.29936131008119504,0,-1.2584489255615467
-0.5416937497932768,-0.09169374979327677,-0.9816937497932767,1.0,0.6083062502067232,1,5.409853751116305
-0.8517066122293969,-0.4017066122293969,-1.291706612229397,1.0,0.2982933877706031,1,3.7357842939612564
1.6022781845089378,2.0522781845089377,1.1622781845089378,1.0,2.752278184508938,1,16.987302196348264
-0.2634972247379339,0.1865027752620661,-0.7034972247379339,1.0,0.8865027752620661,1,6.912114986415157
-1.3077109289559004,-0.8577109289559004,-1.7477109289559003,0.0,-0.15771092895590033,0,-3.7266390163618617
0.572544912103189,1.022544912103189,0.13254491210318908,0.0,1.722544912103189,1,11.42674252535722
-1.4708436499710222,-1.0208436499710223,-1.9108436499710222,0.0,-0.3208436499710222,0,-4.6075557098435205
-0.041136404995244596,0.40886359500475544,-0.48113640499524457,1.0,1.1088635950047554,1,8.112863413025678
-2.209670123879776,-1.7596701238797756,-2.6496701238797753,1.0,-1.0596701238797754,0,-8.597218668950788
-1.5781860488984305,-1.1281860488984305,-2.0181860488984302,1.0,-0.4281860488984305,0,-5.187204664051524
